ProjID,IndivID,SampleID,NameConvention,Species,CommonName,PCL_cm,FL_cm,TL_cm,Weight_g,Sex,Date,Lat,Long,FishingType,TrawlStation,TrawlName,Person,d13C,d13C_SD,WT%C,WT%C_SD,d15N,d15N_SD,WT%N,WT%N_SD,d34S,d34S_SD,WT%S,WT%S_SD,CN,Tissue,LipidExtraction,UreaExtraction,ExtractionNotes,OtherData,Notes,,Environmental Variables from the trawl
STSDEBay,CT-19-18-DE,CT-19-18-DE-RBC,,Carcharias taurus,Sand Tiger Shark,162,183,223,,M,8/16/19,38.93973,75.16213,Longline,,,TA,-16.47,0.13,42.851,0.084304838,14.76,0.28,14.987,0.034111153,,,,,2.859177905,RBC,,,,,,,
STSDEBay,CT-19-19-DE,CT-19-19-DE-M,,Carcharias taurus,Sand Tiger Shark,173,195,238,,M,8/16/19,38.93973,75.16213,Longline,,,TA,-16.63,0.13,47.338,0.112025288,15.96,0.19,15.268,0.019882674,,,,,3.100446473,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,CT-19-19-DE,CT-19-19-DE-P,,Carcharias taurus,Sand Tiger Shark,173,195,238,,M,8/16/19,38.93973,75.16213,Longline,,,TA,-16.37,0.13,45.37,0.089605993,13.64,0.28,13.935,0.036800201,,,,,3.255930504,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,CT-19-19-DE,CT-19-19-DE -RBC,,Carcharias taurus,Sand Tiger Shark,173,195,238,,M,8/16/19,38.93973,75.16213,Longline,,,TA,-15.96,0.13,38.264,0.074378058,14.75,0.28,13.28,0.030235462,,,,,2.881414479,RBC,,,,,,,
STSDEBay,CT-19-20-DE,CT-19-20-DE-M,,Carcharias taurus,Sand Tiger Shark,141,164,192,,F,8/16/19,38.93973,75.16213,Longline,,,TA,-17.05,0.13,53.204,0.078799896,16.27,0.19,17.279,0.01651405,,,,,3.079131488,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,CT-19-20-DE,CT-19-20-DE-P,,Carcharias taurus,Sand Tiger Shark,141,164,192,,F,8/16/19,38.93973,75.16213,Longline,,,TA,-17.15,0.13,46.819,0.089613117,13.27,0.19,13.565,0.024439874,,,,,3.451427143,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,CT-19-20-DE,CT-19-20-DE -RBC,,Carcharias taurus,Sand Tiger Shark,141,164,192,,F,8/16/19,38.93973,75.16213,Longline,,,TA,-16.88,0.13,41.037,0.171651712,14.15,0.19,14.393,0.024072096,,,,,2.851196081,RBC,,,,,,,
STSDEBay,CT-19-21-DE,CT-19-21-DE-M,,Carcharias taurus,Sand Tiger Shark,179,204,241,,M,8/16/19,38.93973,75.16213,Longline,,,TA,-16.68,0.13,53.304,0.053618311,16.79,0.19,17.016,0.017888521,,,,,3.132601215,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,CT-19-21-DE,CT-19-21-DE-P,,Carcharias taurus,Sand Tiger Shark,179,204,241,,M,8/16/19,38.93973,75.16213,Longline,,,TA,-16.32,0.13,46.371,0.112246332,14.42,0.19,15.511,0.028683246,,,,,2.989575281,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,CT-19-21-DE,CT-19-21-DE -RBC,,Carcharias taurus,Sand Tiger Shark,179,204,241,,M,8/16/19,38.93973,75.16213,Longline,,,TA,-16.02,0.13,47.005,0.085803299,15.27,0.28,16.426,0.045893504,,,,,2.861561406,RBC,,,,,,,
STSDEBay,CT-19-22-DE,CT-19-22-DE-P,,Carcharias taurus,Sand Tiger Shark,163,189.4,224,,M,8/27/19,38.81623,75.09473,Longline,,,TA,-16.61,0.13,45.615,0.099601764,13.78,0.19,13.777,0.023903422,,,,,3.310901771,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,CT-19-22-DE,CT-19-22-DE -RBC,,Carcharias taurus,Sand Tiger Shark,163,189.4,224,,M,8/27/19,38.81623,75.09473,Longline,,,TA,-16.39,0.13,43.966,0.104983266,14.76,0.19,15.223,0.02973407,,,,,2.888060395,RBC,,,,,,,
STSDEBay,ST-AUG01-24-01,ST-AUG01-24-01-M,,Carcharias taurus,Sand Tiger Shark,148,161,195,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-17.19,0.13,46.912,0.094448497,15.87,0.19,15.096,0.01696628,,,,,3.107496442,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG01-24-01,ST-AUG01-24-01-P,,Carcharias taurus,Sand Tiger Shark,148,161,195,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-16.92,0.13,43.665,0.078546353,13.95,0.28,13.936,0.033298507,,,,,3.133233757,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-AUG01-24-01,ST-AUG01-24-01-RBC ,,Carcharias taurus,Sand Tiger Shark,148,161,195,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-16.84,0.13,41.22,0.166060465,14.57,0.19,14.361,0.023902229,,,,,2.870314368,RBC,,,,,,,
STSDEBay,ST-AUG01-24-03,ST-AUG01-24-03-M,,Carcharias taurus,Sand Tiger Shark,138,160,192,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-17.2,0.13,54.926,0.056168513,16.88,0.19,17.764,0.018704492,,,,,3.091941651,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG01-24-03,ST-AUG01-24-03-P,,Carcharias taurus,Sand Tiger Shark,138,160,192,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-16.53,0.19,45.492,0.260238377,14.54,0.19,13.503,0.04170442,,,,,3.36906169,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-AUG01-24-03,ST-AUG01-24-03-RBC,,Carcharias taurus,Sand Tiger Shark,138,160,192,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-16.67,0.13,45.74,0.144912735,15.25,0.19,15.828,0.026908754,,,,,2.889829864,RBC,,,,,,,
STSDEBay,ST-AUG01-24-04,ST-AUG01-24-04-M,,Carcharias taurus,Sand Tiger Shark,112,133,166,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-17.06,0.13,51.079,0.047187336,16.74,0.19,16.626,0.021752324,,,,,3.072270067,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG01-24-04,ST-AUG01-24-04-P,,Carcharias taurus,Sand Tiger Shark,112,133,166,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-16.93,0.13,40.075,0.129460019,13.66,0.19,13.417,0.022286081,,,,,2.986885854,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-AUG01-24-04,ST-AUG01-24-04-RBC,,Carcharias taurus,Sand Tiger Shark,112,133,166,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-16.89,0.13,43.936,0.113611879,14.76,0.19,15.167,0.02816902,,,,,2.896871463,RBC,,,,,,,
STSDEBay,ST-AUG01-24-08,ST-AUG01-24-08-M,,Carcharias taurus,Sand Tiger Shark,118,135,163,,F,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-17.31,0.13,48.394,0.044532361,16.61,0.19,15.801,0.019243669,,,,,3.062778289,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG01-24-08,ST-AUG01-24-08-P,,Carcharias taurus,Sand Tiger Shark,118,135,163,,F,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-17.42,0.13,35.182,0.09526483,14.14,0.19,13.361,0.027583269,,,,,2.633265559,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-AUG01-24-08,ST-AUG01-24-08-RBC,,Carcharias taurus,Sand Tiger Shark,118,135,163,,F,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-17.09,0.13,46.088,0.116095203,14.86,0.19,16.006,0.030413863,,,,,2.87934469,RBC,,,,,,,
STSDEBay,ST-AUG01-24-09,ST-AUG01-24-09-M,,Carcharias taurus,Sand Tiger Shark,112,130,157,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-17.16,0.13,47.138,0.096199965,16.22,0.19,15.247,0.017176364,,,,,3.091650936,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG01-24-09,ST-AUG01-24-09-P,,Carcharias taurus,Sand Tiger Shark,112,130,157,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-17.1,0.13,37.17,0.100711185,14.15,0.19,13.604,0.026640541,,,,,2.732343439,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-AUG01-24-09,ST-AUG01-24-09-RBC,,Carcharias taurus,Sand Tiger Shark,112,130,157,,M,8/1/24,38.8867,75.083627,Rod & Reel,,,TA,-16.18,0.13,39.455,0.119085551,15.31,0.19,13.728,0.023877157,,,,,2.87406538,RBC,,,,,,,
STSDEBay,ST-AUG10-24-02,ST-AUG10-24-02-M,,Carcharias taurus,Sand Tiger Shark,135,157,189,,M,8/10/24,38.86229,75.15251,Surf Fishing,,,TA,-17.32,0.13,46.592,0.043824275,16.29,0.19,15.218,0.020779751,,,,,3.061542382,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG12-24-01,ST-AUG12-24-01-M,,Carcharias taurus,Sand Tiger Shark,185,214,254,,F,8/12/24,38.814833,75.093583,Rod & Reel,,,TA,-16.67,0.13,52.289,0.087641707,16.96,0.19,16.95,0.016786129,,,,,3.084854969,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG12-24-02,ST-AUG12-24-02-M,,Carcharias taurus,Sand Tiger Shark,199,228,267,,F,8/12/24,38.814833,75.093583,Rod & Reel,,,TA,-16.22,0.13,38.702,0.085317737,16.84,0.19,12.463,0.015168994,,,,,3.105203708,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG12-24-03,ST-AUG12-24-03-M,,Carcharias taurus,Sand Tiger Shark,170,190,228,,M,8/12/24,38.814833,75.093583,Rod & Reel,,,TA,-16.55,0.13,42.727,0.110032961,16.83,0.19,13.808,0.019606728,,,,,3.094419241,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG12-24-03,ST-AUG12-24-03-P,,Carcharias taurus,Sand Tiger Shark,170,190,228,,M,8/12/24,38.814833,75.093583,Rod & Reel,,,TA,-16.29,0.13,43.043,0.116327142,14.12,0.19,14.86,0.026966396,,,,,2.896531437,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-AUG12-24-03,ST-AUG12-24-03-RBC,,Carcharias taurus,Sand Tiger Shark,170,190,228,,M,8/12/24,38.814833,75.093583,Rod & Reel,,,TA,-17.13,0.13,49.849,0.105712368,14.65,0.19,17.377,0.037079154,,,,,2.868684447,RBC,,,,,,,
STSDEBay,ST-AUG23-24-01,ST-AUG23-24-01-M,,Carcharias taurus,Sand Tiger Shark,170,196,228,,M,8/23/24,38.8086,75.083627,Rod & Reel,,,TA,-16.6,0.13,46.051,0.072763185,16.91,0.19,14.68,0.014407678,,,,,3.136930049,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG23-24-02,ST-AUG23-24-02-M,,Carcharias taurus,Sand Tiger Shark,190,217,250,,F,8/23/24,38.8086,75.083627,Rod & Reel,,,TA,-16.51,0.13,39.617,0.075379862,17.11,0.19,12.854,0.013656369,,,,,3.081932379,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG31-24-01,ST_AUG31-24-01-M,,Carcharias taurus,Sand Tiger Shark,150,175,211,,M,8/31/24,38.81611111,75.09444444,Rod & Reel,,,TA,-16.86,0.13,39.781,0.051802232,17.25,0.19,12.941,0.012395627,,,,,3.07407877,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG31-24-02,ST_AUG31-24-02-M,,Carcharias taurus,Sand Tiger Shark,170,197,224,,F,8/31/24,38.81611111,75.09444444,Rod & Reel,,,TA,-16.67,0.13,37.23,0.05384636,15.95,0.19,12.198,0.011617356,,,,,3.052148585,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-AUG31-24-02,ST_AUG31-24-02-P,,Carcharias taurus,Sand Tiger Shark,170,197,224,,F,8/31/24,38.81611111,75.09444444,Rod & Reel,,,TA,-15.86,0.13,42.226,0.076625657,13.65,0.28,15.059,0.038864196,,,,,2.803958662,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-AUG31-24-02,ST_AUG31-24-02-RBC,,Carcharias taurus,Sand Tiger Shark,170,197,224,,F,8/31/24,38.81611111,75.09444444,Rod & Reel,,,TA,-15.77,0.26,26.839,0.164203078,14.66,0.19,9.272,0.021541818,,,,,2.894675915,RBC,,,,,,,
STSDEBay,ST-COAST-AUG12-24,ST_COAST-M,,Carcharias taurus,Sand Tiger Shark,,,,,,8/12/24,,,Longline,,,TA,-17.39,0.13,57.842,0.105131273,16.39,0.19,18.54,0.019437239,,,,,3.119795658,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-COAST-AUG12-24,ST-COAST-Aug12-P,,Carcharias taurus,Sand Tiger Shark,,,,,,8/12/24,,,Longline,,,TA,-16.88,0.19,41.582,0.211255668,14.33,0.19,15.498,0.02648727,,,,,2.683103984,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-COAST-AUG12-24,ST-COAST-Aug12-RBC,,Carcharias taurus,Sand Tiger Shark,,,,,,8/12/24,,,Longline,,,TA,-16.81,0.13,35.803,0.113150441,15,0.19,13.567,0.025542139,,,,,2.639056624,RBC,,,,,,,
STSDEBay,ST-JUL02-24-03,ST_July02-24_03-M,,Carcharias taurus,Sand Tiger Shark,154,177,212,,M,7/2/24,38.47643,75.04834,Rod & Reel ,,,TA,-16.72,0.13,43.09,0.039771907,16.12,0.19,13.765,0.016159448,,,,,3.130539951,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-JUL26-24-01,ST-JUL26-24-01-M,,Carcharias taurus,Sand Tiger Shark,151,177,211,,M,7/26/24,38.73505,75.0702,Rod & Reel ,,,TA,-16.73,0.13,33.437,0.063628772,16.51,0.19,10.828,0.011538052,,,,,3.08805759,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-JUL26-24-01,ST-JUL26-24-01-P,,Carcharias taurus,Sand Tiger Shark,151,177,211,,M,7/26/24,38.73505,75.0702,Rod & Reel ,,,TA,-16.43,0.13,53.565,0.116056984,14.32,0.19,16.256,0.028449919,,,,,3.295072965,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-JUL26-24-01,ST-JUL26-24-01-RBC,,Carcharias taurus,Sand Tiger Shark,151,177,211,,M,7/26/24,38.73505,75.0702,Rod & Reel ,,,TA,-16.32,0.13,43.262,0.194950586,15.02,0.19,15.476,0.026117514,,,,,2.795435991,RBC,,,,,,,
STSDEBay,ST-JUL29-24-01,ST-JUL29-24-01-M,,Carcharias taurus,Sand Tiger Shark,179,200,233,,M,7/29/24,38.8867,75.083627,Rod & Reel,,,TA,-16.16,0.13,48.215,0.045878113,17.49,0.19,15.656,0.017718196,,,,,3.079584487,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
STSDEBay,ST-JUL29-24-01,ST-JUL29-24-01-P,,Carcharias taurus,Sand Tiger Shark,179,200,233,,M,7/29/24,38.8867,75.083627,Rod & Reel,,,TA,-16.01,0.13,42.789,0.077724394,15.58,0.28,15.904,0.043059189,,,,,2.690407873,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-JUL29-24-01,ST-JUL29-24-01-RBC,,Carcharias taurus,Sand Tiger Shark,179,200,233,,M,7/29/24,38.8867,75.083627,Rod & Reel,,,TA,-15.74,0.13,41.696,0.155671305,16.12,0.19,14.482,0.02395714,,,,,2.879246157,RBC,,,,,,,
STSDEBay,ST-SEP09_24-01,ST_SEP09_24-01-P,,Carcharias taurus,Sand Tiger Shark,166,199,230.5,,M,9/9/24,38.70916,75.065683,Rod & Reel,,,TA,-16.06,0.13,42.446,0.178890368,14.5,0.19,15.963,0.026540141,,,,,2.659074553,Plasma,Chemical,,Acetonytrile,,,,
STSDEBay,ST-SEP09-24-01,ST_SEP09-24-01-RBC,,Carcharias taurus,Sand Tiger Shark,166,199,230.5,,M,9/9/24,38.70916,75.065683,Rod & Reel,,,TA,-15.86,0.13,45.385,0.148235155,15.35,0.19,15.873,0.026943129,,,,,2.859342712,RBC,,,,,,,
STSDEBay,ST-SEP09-24-02,ST_SEP09-24-02-M,,Carcharias taurus,Sand Tiger Shark,164,188.5,224,,M,9/9/24,38.70916,75.065683,Rod & Reel,,,TA,-16.65,0.13,40.734,0.058651806,17.88,0.2,13.02,0.01245489,,,,,3.128462018,Muscle,Chemical,Chemical,Chloroform:methanol,,,,
NEPTuna,FB2022-1,FB2022-1,,Thunnus albacares,Yellowfin tuna,,19.5,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-19.45,,,,16.33899693,,,,,,,,4.053548368,Muscle,Mathematical,Correction from Logan et al. 2008,,,not FL but operculum length,,
NEPTuna,FB2022-2,FB2022-2,,Thunnus albacares,Yellowfin tuna,,18.5,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-19.57,,,,15.52920154,,,,,,,,4.044046708,Muscle,Mathematical,Correction from Logan et al. 2008,,,not FL but operculum length,,
NEPTuna,FB2022-3,FB2022-3,,Thunnus albacares,Yellowfin tuna,,,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-19.02,,,,16.3553358,,,,,,,,3.808968581,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-4,FB2022-4,,Thunnus albacares,Yellowfin tuna,,18.2,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-18.89,,,,16.03162188,,,,,,,,3.674270083,Muscle,Mathematical,Correction from Logan et al. 2008,,,not FL but operculum length,,
NEPTuna,FB2022-5,FB2022-5,,Thunnus albacares,Yellowfin tuna,,19.4,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-18.68,,,,15.74,,,,,,,,3.466747031,Muscle,None,,,,not FL but operculum length,,
NEPTuna,FB2022-6,FB2022-6,,Thunnus albacares,Yellowfin tuna,,27.4,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-18.06,,,,15.93,,,,,,,,3.08763698,Muscle,None,,,,not FL but operculum length,,
NEPTuna,FB2022-7,FB2022-7,,Thunnus albacares,Yellowfin tuna,,26,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-19.5,,,,15.71709858,,,,,,,,3.949667452,Muscle,Mathematical,Correction from Logan et al. 2008,,,not FL but operculum length,,
NEPTuna,FB2022-8,FB2022-8,,Thunnus albacares,Yellowfin tuna,,27.2,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-18.92,,,,16.96089529,,,,,,,,3.511750586,Muscle,Mathematical,Correction from Logan et al. 2008,,,not FL but operculum length,,
NEPTuna,FB2022-9,FB2022-9,,Thunnus albacares,Yellowfin tuna,,21,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-19.97,,,,16.11740097,,,,,,,,4.30687565,Muscle,Mathematical,Correction from Logan et al. 2008,,,not FL but operculum length,,
NEPTuna,FB2022-10,FB2022-10,,Thunnus albacares,Yellowfin tuna,,18.5,,,,10/5/22,Southern CA Bight- within 100 miles of San Diego,,,,,AC,-18.08,,,,14.9,,,,,,,,3.072769493,Muscle,None,,,,not FL but operculum length,,
NEPTuna,FB2022-11,FB2022-11,,Coryphaena hippurus,Dorado,,,72.3,,,10/10/22,9 mile bank off San Diego,,,,,AC,-18.64,,,,14.42,,,,,,,,3.039669323,Muscle,None,,,,,,
NEPTuna,FB2022-12,FB2022-12,,Coryphaena hippurus,Dorado,,,72.5,,,10/10/22,9 mile bank off San Diego,,,,,AC,-19.2,,,,16.07451142,,,,,,,,3.941475571,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-13,FB2022-13,,Coryphaena hippurus,Dorado,,,84.1,,,10/10/22,9 mile bank off San Diego,,,,,AC,-17.74,,,,15.46,,,,,,,,3.164106089,Muscle,None,,,,,,
NEPTuna,FB2022-14,FB2022-14,,Coryphaena hippurus,Dorado,,,75.5,,,10/10/22,9 mile bank off San Diego,,,,,AC,-18.16,,,,15.71,,,,,,,,3.10789975,Muscle,None,,,,,,
NEPTuna,FB2022-15,FB2022-15,,Coryphaena hippurus,Dorado,,,80.2,,,10/10/22,9 mile bank off San Diego,,,,,AC,-18.18,,,,16.18,,,,,,,,3.468437786,Muscle,None,,,,,,
NEPTuna,FB2022-16,FB2022-16,,Coryphaena hippurus,Dorado,,,83.5,,,10/10/22,9 mile bank off San Diego,,,,,AC,-19.1,,,,14.88,,,,,,,,3.342483723,Muscle,None,,,,,,
NEPTuna,FB2022-17,FB2022-17,,Coryphaena hippurus,Dorado,,,71.5,,,10/10/22,9 mile bank off San Diego,,,,,AC,-18.29,,,,13.23,,,,,,,,3.091997794,Muscle,None,,,,,,
NEPTuna,FB2022-18,FB2022-18,,Coryphaena hippurus,Dorado,,,76,,,10/10/22,9 mile bank off San Diego,,,,,AC,-18.6,,,,14.57,,,,,,,,3.092081655,Muscle,None,,,,,,
NEPTuna,FB2022-19,FB2022-19,,Thunnus albacares,Yellowfin tuna,,,179,233,,1/31/23,Southern Baja offshore banks gilled and gutted weight,,,,,AC,-20.65,,,,15.50979913,,,,,,,,5.711252527,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-20,FB2022-20,,Thunnus albacares,Yellowfin tuna,,31.5,,,,1/31/23,Southern Baja offshore banks,,,,,AC,-17.99,,,,16.17,,,,,,,,3.218752797,Muscle,None,,,,not FL but operculum length,,
NEPTuna,FB2022-21,FB2022-21,,Thunnus albacares,Yellowfin tuna,,,163,,,2/15/23,Southern Baja offshore banks,,,,,AC,-19.12,,,,15.44954953,,,,,,,,3.663436752,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-22,FB2022-22,,Thunnus albacares,Yellowfin tuna,,37.5,,,,2/15/23,Southern Baja offshore banks,,,,,AC,-17.88,,,,15.85,,,,,,,,3.086074953,Muscle,None,,,,not FL but operculum length,,
NEPTuna,FB2022-23,FB2022-23,,Thunnus albacares,Yellowfin tuna,,32.5,,,,2/15/23,Southern Baja offshore banks,,,,,AC,-19.64,,,,16.10004091,,,,,,,,4.056656414,Muscle,Mathematical,Correction from Logan et al. 2008,,,not FL but operculum length,,
NEPTuna,FB2022-24,FB2022-24,,Thunnus obesus,Bigeye tuna,,,,,,9/13/22,out of Fort Bragg,,,,,AC,-23.66,,,,15.08192489,,,,,,,,10.28981846,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-25,FB2022-25,,Thunnus obesus,Bigeye tuna,,,,150,,9/13/22,out of Fort Bragg,,,,,AC,-19.68,,,,14.47534423,,,,,,,,3.787191074,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-26,FB2022-26,,Coryphaena hippurus,Dorado,,,,,,8/31/22,out of Fort Bragg,,,,,AC,-18.87,,,,14.47,,,,,,,,3.132272821,Muscle,None,,,,,,
NEPTuna,FB2022-27,FB2022-27,,Thunnus obesus,Bigeye tuna,,,,,,9/14/22,out of Fort Bragg,,,,,AC,-20.34,,,,13.84936116,,,,,,,,4.304499161,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-28,FB2022-28,,Thunnus albacares,Yellowfin tuna,, ,,151,,9/11/22,out of Fort Bragg,,,,,AC,-18.13,,,,13.56,,,,,,,,3.116209741,Muscle,None,,,,,,
NEPTuna,FB2022-29,FB2022-29,,Thunnus albacares,Yellowfin tuna,, ,,240,,9/20/22,out of Fort Bragg,,,,,AC,-20.34,,,,12.97523145,,,,,,,,4.143491413,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-30,FB2022-30,,Thunnus obesus,Bigeye tuna,,,,,,9/12/22,out of Fort Bragg,,,,,AC,-19.56,,,,13.96883917,,,,,,,,3.738495269,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-31,FB2022-31,,Seriola spp.,Yellowtail,,,,,,9/16/22,out of Fort Bragg,,,,,AC,-19.03,,,,15.98,,,,,,,,3.217799573,Muscle,None,,,,,,
NEPTuna,FB2022-32,FB2022-32,,Thunnus albacares,Yellowfin tuna,,,160,174,,2/28/23,Southern Baja offshore banks gilled and gutted weight,,,,,AC,-19.36,,,,15.19221228,,,,,,,,4.030340954,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
NEPTuna,FB2022-33,FB2022-33,,Thunnus albacares,Yellowfin tuna,,,174.5,209,,2/28/23,Southern Baja offshore banks gilled and gutted weight,,,,,AC,-18.42,,,,15.5,,,,,,,,3.434058238,Muscle,None,,,,,,
NEPTuna,FB2022-34,FB2022-34,,Thunnus albacares,Yellowfin tuna,,,142,,,2/28/23,Southern Baja offshore banks,,,,,AC,-18.18,,,,15.76,,,,,,,,3.271721022,Muscle,None,,,,,,
NEPTuna,FB2022-35,FB2022-35,,Thunnus obesus,Bigeye tuna,,,106,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-18.09,,,,10.78,,,,,,,,3.016234992,Muscle,None,,,,,,
NEPTuna,FB2022-36,FB2022-36,,Thunnus obesus,Bigeye tuna,,,98,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-17.92,,,,11.58,,,,,,,,3.016835836,Muscle,None,,,,,,
NEPTuna,FB2022-37,FB2022-37,,Thunnus obesus,Bigeye tuna,,,107,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-18.64,,,,13.31,,,,,,,,3.119748357,Muscle,None,,,,,,
NEPTuna,FB2022-38,FB2022-38,,Thunnus obesus,Bigeye tuna,,,108,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-17.94,,,,10.37,,,,,,,,3.137937236,Muscle,None,,,,,,
NEPTuna,FB2022-39,FB2022-39,,Thunnus obesus,Bigeye tuna,,,105,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-18.28,,,,10.59,,,,,,,,3.131294943,Muscle,None,,,,,,
NEPTuna,FB2022-40,FB2022-40,,Thunnus obesus,Bigeye tuna,,,104,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-18,,,,11.2,,,,,,,,3.125877351,Muscle,None,,,,,,
NEPTuna,FB2022-41,FB2022-41,,Thunnus obesus,Bigeye tuna,,,107,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-17.67,,,,10.73,,,,,,,,3.094404438,Muscle,None,,,,,,
NEPTuna,FB2022-42,FB2022-42,,Thunnus obesus,Bigeye tuna,,,104,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-17.86,,,,10.37,,,,,,,,3.086705553,Muscle,None,,,,,,
NEPTuna,FB2022-43,FB2022-43,,Thunnus albacares,Yellowfin tuna,,,120,,,3/23/23,Longline boat approx 700-900 miles west of central/ northern Baja,,,,,AC,-17.63,,,,12.13,,,,,,,,3.056911013,Muscle,None,,,,,,
NEPTuna,FB2022-44,FB2022-44,,Thunnus obesus,Bigeye tuna,,,,160,,8/25/23,"Off of Eureka, 40.688 x -125.729",,,,,AC,-21.83,,,,14.93283267,,,,,,,,5.389536115,Muscle,Mathematical,Correction from Logan et al. 2008,,,,,
